name,code,latitude,longitude
Karachi,KAR,24.86,67.01
Lahore,LAH,31.5497,74.3436
Sialkot City,SIA,32.5,74.5333
Faisalabad,FAI,31.418,73.079
Rawalpindi,RAW,33.6007,73.0679
Peshawar,PES,34,71.5
Saidu Sharif,SAI,34.75,72.3572
Multan,MUL,30.1978,71.4711
Gujranwala,GUJ,32.15,74.1833
Islamabad,ISL,33.6989,73.0369
Quetta,QUE,30.192,67.007
Bahawalpur,BAH,29.3956,71.6722
Sargodha,SAR,32.0836,72.6711
New Mirpur,NEW,33.1333,73.75
Chiniot,CHI,31.7167,72.9833
Sukkur,SUK,27.6995,68.8673
Larkana,LAR,27.56,68.2264
Shekhupura,SHE,31.7083,74
Jhang City,JHA,31.2681,72.3181
Rahimyar Khan,RAH,28.4202,70.2952
Gujrat,GUJ,32.5736,74.0789
Kasur,KAS,31.1167,74.45
Mardan,MAR,34.1958,72.0447
Mingaora,MIN,34.7717,72.36
Dera Ghazi Khan,DER,30.05,70.6333
Nawabshah,NAW,26.2442,68.41
Sahiwal,SAH,30.6706,73.1064
Mirpur Khas,MIR,25.5269,69.0111
Okara,OKA,30.81,73.4597
Mandi Burewala,MAN,30.15,72.6833
Jacobabad,JAC,28.2769,68.4514
Saddiqabad,SAD,28.3006,70.1302
Kohat,KOH,33.5869,71.4414
Muridke,MUR,31.802,74.255
Muzaffargarh,MUZ,30.0703,71.1933
Khanpur,KHA,28.6471,70.662
Gojra,GOJ,31.15,72.6833
Mandi Bahauddin,MAN,32.5861,73.4917
Abbottabad,ABB,34.15,73.2167
Dadu,DAD,26.7319,67.775
Khuzdar,KHU,27.8,66.6167
Pakpattan,PAK,30.35,73.4
Tando Allahyar,TAN,25.4667,68.7167
Vihari,VIH,30.0419,72.3528
Jaranwala,JAR,31.3342,73.4194
Kamalia,KAM,30.7258,72.6447
Kot Addu,KOT,30.47,70.9644
Nowshera,NOW,34.0153,71.9747
Swabi,SWA,34.1167,72.4667
Dera Ismail Khan,DER,31.8167,70.9167
Chaman,CHA,30.921,66.4597
Charsadda,CHA,34.1453,71.7308
Kandhkot,KAN,28.4,69.3
Hasilpur,HAS,29.6967,72.5542
Muzaffarabad,MUZ,34.37,73.4711
Mianwali,MIA,32.5853,71.5436
Jalalpur Jattan,JAL,32.7667,74.2167
Bhakkar,BHA,31.6333,71.0667
Zhob,ZHO,31.3417,69.4486
Kharian,KHA,32.811,73.865
Mian Channun,MIA,30.4397,72.3544
Jamshoro,JAM,25.4283,68.2822
Pattoki,PAT,31.0214,73.8528
Harunabad,HAR,29.61,73.1361
Toba Tek Singh,TOB,30.9667,72.4833
Shakargarh,SHA,32.2628,75.1583
Hujra Shah Muqim,HUJ,30.7333,73.8167
Kabirwala,KAB,30.4068,71.8667
Mansehra,MAN,34.3333,73.2
Lala Musa,LAL,32.7012,73.9605
Nankana Sahib,NAN,31.4492,73.7124
Bannu,BAN,32.9889,70.6056
Timargara,TIM,34.8281,71.8408
Parachinar,PAR,33.8992,70.1008
Gwadar,GWA,25.1264,62.3225
Abdul Hakim,ABD,30.5522,72.1278
Hassan Abdal,HAS,33.8195,72.689
Tank,TAN,32.2167,70.3833
Hangu,HAN,33.5281,71.0572
Risalpur Cantonment,RIS,34.0049,71.9989
Karak,KAR,33.1167,71.0833
Kundian,KUN,32.4522,71.4718
Umarkot,UMA,25.3614,69.7361
Chitral,CHI,35.8511,71.7889
Dainyor,DAI,35.9206,74.3783
Kulachi,KUL,31.9286,70.4592
Kotli,KOT,33.5156,73.9019
Gilgit,GIL,35.9208,74.3144
Hyderabad City,HYD,25.3969,68.3772
Narowal,NAR,32.102,74.873
Khairpur Mir’s,KHA,27.5295,68.7592
Khanewal,KHA,30.3017,71.9321
Jhelum,JHE,32.9333,73.7333
Haripur,HAR,33.9942,72.9333
Shikarpur,SHI,27.9556,68.6382
Rawala Kot,RAW,33.8578,73.7604
Hafizabad,HAF,32.0709,73.688
Lodhran,LOD,29.5339,71.6324
Malakand,MAL,34.5656,71.9304
Attock City,ATT,33.7667,72.3598
Batgram,BAT,34.6796,73.0263
Matiari,MAT,25.5971,68.4467
Ghotki,GHO,28.0064,69.315
Naushahro Firoz,NAU,26.8401,68.1227
Alpurai,ALP,34.9,72.6556
Bagh,BAG,33.9803,73.7747
Daggar,DAG,34.5111,72.4844
Bahawalnagar,BAH,29.9983,73.2527
Leiah,LEI,30.9646,70.9444
Tando Muhammad Khan,TAN,25.1239,68.5389
Chakwal,CHA,32.93,72.85
Khushab,KHU,32.2952,72.3502
Badin,BAD,24.6558,68.8383
Lakki,LAK,32.6072,70.9123
Rajanpur,RAJ,29.1041,70.3297
Dera Allahyar,DER,28.4167,68.1667
Shahdad Kot,SHA,27.8473,67.9068
Pishin,PIS,30.5833,67
Sanghar,SAN,26.0464,68.9481
Upper Dir,UPP,35.2074,71.8768
Thatta,THA,24.7461,67.9243
Dera Murad Jamali,DER,28.5466,68.2231
Kohlu,KOH,29.8965,69.2532
Mastung,MAS,29.7997,66.8455
Dasu,DAS,35.2917,73.2906
Athmuqam,ATH,34.5717,73.8972
Loralai,LOR,30.3705,68.5979
Barkhan,BAR,29.8977,69.5256
Musa Khel Bazar,MUS,30.8594,69.8221
Ziarat,ZIA,30.3814,67.7258
Gandava,GAN,28.6132,67.4856
Sibi,SIB,29.543,67.8773
Dera Bugti,DER,29.0362,69.1585
Eidgah,EID,35.3471,74.8563
Turbat,TUR,26.0012,63.0485
Uthal,UTH,25.8072,66.6219
Khuzdar,KHU,27.7384,66.6434
Chilas,CHI,35.4206,74.0967
Kalat,KAL,29.0266,66.5936
Panjgur,PAN,26.9644,64.0903
Gakuch,GAK,36.1736,73.7667
Qila Saifullah,QIL,30.7008,68.3598
Kharan,KHA,28.5846,65.415
Aliabad,ALI,36.3078,74.6178
Awaran,AWA,26.4568,65.2314
Dalbandin,DAL,28.8885,64.4062
